	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
100130426	0	0	0	0	0	0	0	0	0	0
100133144	4.43056629	5.214863065	6.538493156	3.279991226	5.180708818	5.948163955	5.215395155	5.445971634	4.325134526	4.138658856
100134869	2.245282681	5.333878082	7.104486583	4.742502119	5.224761904	4.61049928	5.308713991	4.597459663	4.500591751	5.163426274
10357	8.289402459	8.351805422	7.131195381	7.197666881	7.941382778	8.700587101	9.446893472	8.802252682	8.916574274	9.036629707
10431	10.27174675	10.13893014	9.875858989	10.39711852	10.59502917	11.03606486	10.66051207	10.6384484	11.1874299	10.35503576
136542	0	0	0	0	0	0	0	0	0	0
155060	7.016498548	6.965005019	9.441462108	5.923189598	7.470908554	6.987192373	6.137317027	8.110540207	7.920345709	7.263946134
26823	0	0	1.280124892	0	0	0	0	0	0	0
280660	0	0	2.747236999	0	1.0721058	0	0	0	0.960585845	0
317712	0	0	0	0	0	0	0	0	0	0
340602	1.84967907	0	1.280124892	0	0	0	0	0	0	0
388795	2.634198274	0.843501526	4.739540309	2.315798063	1.0721058	2.281253134	0	2.087259152	0.960585845	0.871764811
390284	4.8468844	5.069186581	5.141011725	4.977463111	6.247403492	6.289467475	6.715432161	6.852261076	6.715180905	7.04570834
391343	0	0	2.747236999	0	1.0721058	0	0	0	0	0.871764811
391714	0	0	0	1.218037159	0	0	0	0	0.960585845	0.871764811
404770	0	0	0	0	0	0	0	0	0	0
441362	2.160984708	0	0	3.097560234	0	0	0	0	3.250158169	0
442388	0	0	0	0	0	0	0	0	0	0
553137	0.901571685	5.199664493	0	2.315798063	0	0	0	1.392152534	0	1.411317768
57714	9.43094612	7.691811204	10.36741475	9.464689298	7.973126776	8.709981899	6.817578492	7.76211291	6.766229406	8.786805106
645851	3.139551352	4.326717099	5.198270188	3.537308493	3.123964106	3.739329676	2.841590764	3.965534965	2.739070393	4.694674079
652919	0	3.300123725	0	0	1.38388397	1.795351365	1.077448107	2.263575315	0	0
653553	11.17531994	12.68816499	10.7224416	11.74038135	12.090983	10.29175744	11.93296057	11.87703768	12.18916797	11.59716585
728045	0	0	0	0	0	0	0	0	0	0
728603	0.901571685	0	0	0	3.714564249	3.464485305	1.728138203	0	0	0
728788	1.452120959	0	1.280124892	0	0	0	1.34596403	0.857821792	0	0
729884	0.901571685	0	0	2.656496371	2.106884289	5.279389575	0	0	0.960585845	0.871764811
8225	10.29685244	8.933057677	10.95201316	10.23352118	10.31563517	9.308804531	9.758345156	9.786612043	9.604873237	10.30386121
90288	4.055282436	1.758431108	6.574187813	4.290394913	8.233090911	4.105694838	6.199179585	7.982011295	8.329657331	8.532529701
1	6.120526128	3.935450318	7.082453519	9.360378544	6.946207999	4.715997671	3.462458102	5.82058235	6.841710261	8.695928412
29974	0	0	0	0	0	0.825541427	0	0	0	0.871764811
54715	0	0	0	0	1.0721058	0	0	0	0	2.110864324
87769	6.612100329	6.764340847	5.983481613	7.392681486	7.054516411	6.948750342	7.938688641	7.065713395	5.827323648	6.538772489
144568	0.901571685	2.062743429	3.258729962	3.163112244	6.226313922	7.145071111	6.08911463	7.667286146	5.05165487	6.488590522
2	12.54730334	11.69091303	10.77450467	13.65427841	12.46841663	12.61764384	11.22692511	12.68203455	13.65887763	13.98084806
53947	10.60815852	9.448152243	8.839653851	9.860127893	10.26482668	10.61877879	10.80367119	9.836174731	10.61094537	10.30196574
51146	0.901571685	0	2.402094544	0	0	0	0.824564212	0.857821792	0	0
404744	0	0	1.280124892	0	0	0	0	4.298951516	0	2.110864324
8086	9.617875513	10.00257061	10.80884925	9.922578457	10.06103995	9.85982252	9.992560553	10.16290764	10.54487211	10.36868302
729522	0	3.691154458	2.402094544	6.208367036	1.0721058	1.347325492	0	1.392152534	0.960585845	4.203780624
65985	8.753402633	9.166376269	9.81766898	10.10216364	10.43992706	9.280421419	9.988186473	10.70033195	11.01743592	10.26644152
344752	0	0	0	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0	0	0
343066	0	0	0	0	1.68036937	0.825541427	0	1.392152534	1.940429889	1.803061675
13	0	0	1.94751655	0	1.68036937	4.039489372	0	4.038664438	3.511822218	2.579976597
51166	3.275096468	5.882496327	5.253342631	3.163112244	7.72508877	7.308602969	8.699757745	7.96334927	9.395873616	7.850971275
79719	10.03563917	10.68011501	9.079484784	9.448349059	10.3767285	10.82628773	10.33846319	10.43930086	9.920104941	10.15324712
22848	9.582377236	9.123867137	9.826775519	10.50111655	9.106341514	9.072673128	8.315856468	8.806682366	8.560475759	9.589266501
14	11.54913955	11.63676816	12.4444603	11.28445901	11.72480479	11.86075594	11.68730521	11.25246894	11.3876592	11.6197881
15	1.84967907	3.160984708	2.402094544	1.218037159	0	1.347325492	0.824564212	0	1.532117437	0
57505	8.684608727	9.216153383	10.65628443	10.00869613	9.422539978	9.478305092	9.623323138	9.530717668	9.301582617	9.36320788
